dataset,accession
GlobalA,EPI_ISL_422427
GlobalA,EPI_ISL_416541
GlobalA,EPI_ISL_416458
GlobalA,EPI_ISL_416542
GlobalA,EPI_ISL_416543
GlobalA,EPI_ISL_421653
GlobalA,EPI_ISL_437092
GlobalA,EPI_ISL_437095
GlobalA,EPI_ISL_421654
GlobalA,EPI_ISL_421655
GlobalA,EPI_ISL_426287
GlobalA,EPI_ISL_426288
GlobalA,EPI_ISL_450508
GlobalA,EPI_ISL_450509
GlobalA,EPI_ISL_450511
GlobalA,EPI_ISL_450512
GlobalA,EPI_ISL_450514
GlobalA,EPI_ISL_450515
GlobalA,EPI_ISL_416741
GlobalA,EPI_ISL_450496
GlobalA,EPI_ISL_450497
GlobalA,EPI_ISL_419562
GlobalA,EPI_ISL_419565
GlobalA,EPI_ISL_419572
GlobalA,EPI_ISL_429721
GlobalA,EPI_ISL_419581
GlobalA,EPI_ISL_429765
GlobalA,EPI_ISL_429762
GlobalA,EPI_ISL_421756
GlobalA,EPI_ISL_413593
GlobalA,EPI_ISL_417918
GlobalA,EPI_ISL_417917
GlobalA,EPI_ISL_430443
GlobalA,EPI_ISL_430441
GlobalA,EPI_ISL_430442
GlobalA,EPI_ISL_430440
GlobalA,EPI_ISL_430439
GlobalA,EPI_ISL_455790
GlobalA,EPI_ISL_455791
GlobalA,EPI_ISL_455792
GlobalA,EPI_ISL_430444
GlobalA,EPI_ISL_416829
GlobalA,EPI_ISL_416866
GlobalA,EPI_ISL_416884
GlobalA,EPI_ISL_416885
GlobalA,EPI_ISL_416886
GlobalA,EPI_ISL_416907
GlobalA,EPI_ISL_426362
GlobalA,EPI_ISL_426363
GlobalA,EPI_ISL_424345
GlobalA,EPI_ISL_424348
GlobalA,EPI_ISL_424626
GlobalA,EPI_ISL_412972
GlobalA,EPI_ISL_452139
GlobalA,EPI_ISL_455432
GlobalA,EPI_ISL_455434
GlobalA,EPI_ISL_424666
GlobalA,EPI_ISL_410301
GlobalA,EPI_ISL_454752
GlobalA,EPI_ISL_454788
GlobalA,EPI_ISL_454791
GlobalA,EPI_ISL_454750
GlobalA,EPI_ISL_454751
GlobalA,EPI_ISL_413581
GlobalA,EPI_ISL_413586
GlobalA,EPI_ISL_454756
GlobalA,EPI_ISL_454764
GlobalA,EPI_ISL_454774
GlobalA,EPI_ISL_454785
GlobalA,EPI_ISL_454786
GlobalA,EPI_ISL_454753
GlobalA,EPI_ISL_454754
GlobalA,EPI_ISL_413490
GlobalA,EPI_ISL_456158
GlobalA,EPI_ISL_456166
GlobalA,EPI_ISL_456176
GlobalA,EPI_ISL_456204
GlobalA,EPI_ISL_456210
GlobalA,EPI_ISL_456238
GlobalA,EPI_ISL_456244
GlobalA,EPI_ISL_413550
GlobalA,EPI_ISL_455412
GlobalA,EPI_ISL_455413
GlobalA,EPI_ISL_455414
GlobalA,EPI_ISL_455419
GlobalA,EPI_ISL_455422
GlobalA,EPI_ISL_455424
GlobalA,EPI_ISL_455429
GlobalA,EPI_ISL_417483
GlobalA,EPI_ISL_417484
GlobalA,EPI_ISL_417490
GlobalA,EPI_ISL_420135
GlobalA,EPI_ISL_417488
GlobalA,EPI_ISL_417489
GlobalA,EPI_ISL_420134
GlobalA,EPI_ISL_420136
GlobalA,EPI_ISL_420139
GlobalA,EPI_ISL_420312
GlobalA,EPI_ISL_447837
GlobalA,EPI_ISL_447838
GlobalA,EPI_ISL_447839
GlobalA,EPI_ISL_450349
GlobalA,EPI_ISL_457706
GlobalA,EPI_ISL_457939
GlobalA,EPI_ISL_457976
GlobalA,EPI_ISL_457979
GlobalA,EPI_ISL_457987
GlobalA,EPI_ISL_457991
GlobalA,EPI_ISL_457998
GlobalA,EPI_ISL_457701
GlobalA,EPI_ISL_457704
GlobalA,EPI_ISL_417444
GlobalA,EPI_ISL_451958
GlobalA,EPI_ISL_419313
GlobalA,EPI_ISL_415152
GlobalA,EPI_ISL_415787
GlobalA,EPI_ISL_434554
GlobalA,EPI_ISL_434555
GlobalA,EPI_ISL_434556
GlobalA,EPI_ISL_434558
GlobalA,EPI_ISL_451973
GlobalA,EPI_ISL_451985
GlobalA,EPI_ISL_455440
GlobalA,EPI_ISL_455445
GlobalA,EPI_ISL_455447
